OBJECTID,SQUARE,SUFFIX,RES,PAR,LOT,CONDO_REGIME,SSL,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,AREA_NEW,CENTROIDX,CENTROIDY,MINLAT,MAXLAT,MINLONG,MAXLONG,NSSL,UBID,NUBID,LINK_TYPE,LINK_TYPE_DESCRIPTION,GIS_ID,SE_ANNO_CAD_DATA,CREATOR,CREATED,EDITOR,EDITED,WARD,GLOBALID,SHAPE_Length,SHAPE_Area
486486,0374, , , ,7022, ,0374    7022,Building,2017/03/09 00:00:00+00,E,37192.990515,-77.0255786,38.90035097,38.9003184,38.90038356,-77.02560821,-77.02554897,5,87C4WX2F+4QV-1-1-2-1,6,4,Many Buildings Many Lots,UBIDPly_3463,,,,,,2,{36949EE6-BC71-4704-E063-792F520AC09B},146.038105340025,768.606016217749
486487,0374, , , ,7066, ,0374    7066,Building,2017/03/09 00:00:00+00,E,37192.990515,-77.0255786,38.90035097,38.9003184,38.90038356,-77.02560821,-77.02554897,5,87C4WX2F+4QV-1-1-2-1,6,4,Many Buildings Many Lots,UBIDPly_3464,,,,,,2,{36949EE6-BC72-4704-E063-792F520AC09B},146.038105340025,768.606016217749
486488,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,2269.64529816,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26482,,,,,,5,{36949EE6-BC73-4704-E063-792F520AC09B},88.8827034493089,348.635320459441
486489,0562,S, , ,0818, ,0562S   0818,Building,2017/03/09 00:00:00+00,E,1540.76886028,-77.01415983,38.89982012,38.89975456,38.89988458,-77.01429912,-77.01403283,9,87C4VXXP+W8G-3-4-2-4,1,3,One Building Many Lots,UBIDPly_2900,,,,,,6,{36949EE6-BC74-4704-E063-792F520AC09B},76.738477965793,236.679618432963
486490,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,2281.41727896,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26477,,,,,,5,{36949EE6-BC75-4704-E063-792F520AC09B},87.6719239637144,350.438580583672
486491,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,1314.05556084,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26484,,,,,,5,{36949EE6-BC76-4704-E063-792F520AC09B},59.0342996306825,201.850560842287
486492,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,3613.25452629,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26492,,,,,,5,{36949EE6-BC77-4704-E063-792F520AC09B},126.33469048635,555.042893410977
486493,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,2157.58724028,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26476,,,,,,5,{36949EE6-BC78-4704-E063-792F520AC09B},83.7530314377411,331.438377298717
486494,0677, , , ,0142, ,0677    0142,Building,2015/04/24 00:00:00+00,E,28759.4864466,-77.00852796,38.89986466,38.89961542,38.90008197,-77.00882922,-77.00818154,1,87C4VXXR+WHX-9-11-10-10,1,1,One Building One Lot,UBIDPly_30808,,,,,,6,{36949EE6-BC79-4704-E063-792F520AC09B},291.108003804938,4365.35945493404
486495,0562,S, , ,0818, ,0562S   0818,Building,2017/03/09 00:00:00+00,E,241.11056958,-77.01415983,38.89982012,38.89975456,38.89988458,-77.01429912,-77.01403283,9,87C4VXXP+W8G-3-4-2-4,1,3,One Building Many Lots,UBIDPly_2907,,,,,,6,{36949EE6-BC7A-4704-E063-792F520AC09B},28.007699373391,37.0306086416085
